STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,unit,Unit of measure,TIME_PERIOD,Time,geo,Geopolitical entity (reporting),ind_type,Individual type,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y16_24_DIS_SEV,Individuals aged 16 to 24 with disability (activity limitation) - severely limited,88.55,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y25_54_DIS_LTD,"Individuals aged 25 to 54 with disability (activity limitation) - limited, but not severely",96.95,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y25_54_DIS_LTD_SEV,Individuals aged 25 to 54 with disability (activity limitation) - limited or severely limited,94.85,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y25_54_DIS_NONE,Individuals aged 25 to 54 with disability (activity limitation) - not limited at all,97.99,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y25_54_DIS_SEV,Individuals aged 25 to 54 with disability (activity limitation) - severely limited,89.75,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y55_74_DIS_LTD,"Individuals aged 55 to 74 with disability (activity limitation) - limited, but not severely",82.74,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y55_74_DIS_LTD_SEV,Individuals aged 55 to 74 with disability (activity limitation) - limited or severely limited,80.98,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y55_74_DIS_NONE,Individuals aged 55 to 74 with disability (activity limitation) - not limited at all,88.01,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,EU27_2020,European Union - 27 countries (from 2020),Y55_74_DIS_SEV,Individuals aged 55 to 74 with disability (activity limitation) - severely limited,76.21,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,DIS_LTD,"Disability (activity limitation) - limited, but not severely",94.00,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,DIS_LTD_SEV,Disability (activity limitation) - limited or severely limited,91.15,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,DIS_NONE,Disability (activity limitation) - not limited at all,96.24,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,DIS_SEV,Disability (activity limitation) - severely limited,86.88,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,F_DIS_LTD,"Females with disability (activity limitation) - limited, but not severely",95.04,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,F_DIS_LTD_SEV,Females with disability (activity limitation) - limited or severely limited,92.68,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,F_DIS_NONE,Females with disability (activity limitation) - not limited at all,96.44,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,F_DIS_SEV,Females with disability (activity limitation) - severely limited,89.28,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,M_DIS_LTD,"Males with disability (activity limitation) - limited, but not severely",92.61,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,M_DIS_LTD_SEV,Males with disability (activity limitation) - limited or severely limited,89.03,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,M_DIS_NONE,Males with disability (activity limitation) - not limited at all,96.04,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,M_DIS_SEV,Males with disability (activity limitation) - severely limited,83.30,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,FR,France,Y16_24_DIS_LTD,"Individuals aged 16 to 24 with disability (activity limitation) - limited, but not severely",99.51,,u,low reliability,,
